profil,stok,id,komponen,panjang_mm,status
RHS50x100,102,SC-R4-BX1,X06,1625.7949,studi - belum fabrikasi
RHS50x100,102,SC-L4-BY0,X06,1579.1447,studi - belum fabrikasi
RHS50x100,102,SC-L4-BY1,X06,1579.1447,studi - belum fabrikasi
RHS50x100,102,SC-R3-P01,I01,1146.0,studi - belum fabrikasi
RHS50x100,103,SC-R4-BY0,X06,1579.1447,studi - belum fabrikasi
RHS50x100,103,SC-R4-BY1,X06,1579.1447,studi - belum fabrikasi
RHS50x100,103,1694599,X06,1524.0,studi - belum fabrikasi
RHS50x100,103,SC-R3-P10,I01,1146.0,studi - belum fabrikasi
RHS50x100,104,1694607,X06,1524.0,studi - belum fabrikasi
RHS50x100,104,1694611,X06,1524.0,studi - belum fabrikasi
RHS50x100,104,1694615,X06,1524.0,studi - belum fabrikasi
RHS50x100,104,I1-J3,I03,1400.0378,studi - belum fabrikasi
RHS50x100,105,1678289,X01,1481.9998,studi - belum fabrikasi
RHS50x100,105,1678364,X01,1481.9998,studi - belum fabrikasi
RHS50x100,105,1678393,X01,1481.9998,studi - belum fabrikasi
RHS50x100,105,1678417,X01,1481.9998,studi - belum fabrikasi
RHS50x100,106,1678429,X01,1481.9998,studi - belum fabrikasi
RHS50x100,106,1678441,X01,1481.9998,studi - belum fabrikasi
RHS50x100,106,1678465,X01,1481.9998,studi - belum fabrikasi
RHS50x100,106,1678477,X01,1481.9998,studi - belum fabrikasi
RHS50x100,107,1678489,X01,1481.9998,studi - belum fabrikasi
RHS50x100,107,1682253,X01,1481.9998,studi - belum fabrikasi
RHS50x100,107,1682275,X01,1481.9998,studi - belum fabrikasi
RHS50x100,107,1682297,X01,1481.9998,studi - belum fabrikasi
RHS50x100,108,1690201,X01,1481.9998,studi - belum fabrikasi
RHS50x100,108,I1-J4,I03,1400.0378,studi - belum fabrikasi
RHS50x100,108,I2-J0,I03,1400.0378,studi - belum fabrikasi
RHS50x100,108,I2-J1,I03,1400.0378,studi - belum fabrikasi
RHS50x100,108,I1-P00,I01,285,studi - belum fabrikasi
RHS50x100,109,I2-J2,I03,1400.0378,studi - belum fabrikasi
RHS50x100,109,I2-J3,I03,1400.0378,studi - belum fabrikasi
RHS50x100,109,I2-J4,I03,1400.0378,studi - belum fabrikasi
RHS50x100,109,I3-J0,I03,1400.0378,studi - belum fabrikasi
RHS50x100,109,SC-L1-BY1,X06,320.4653,studi - belum fabrikasi
RHS50x100,110,I3-J1,I03,1400.0378,studi - belum fabrikasi
RHS50x100,110,I3-J2,I03,1400.0378,studi - belum fabrikasi
RHS50x100,110,I3-J3,I03,1400.0378,studi - belum fabrikasi
RHS50x100,110,I4-J1,I03,1400.0378,studi - belum fabrikasi
RHS50x100,110,SC-R1-BY0,X06,320.4653,studi - belum fabrikasi
RHS50x100,111,I4-J2,I03,1400.0378,studi - belum fabrikasi
RHS50x100,111,I4-J3,I03,1400.0378,studi - belum fabrikasi
RHS50x100,111,I4-J4,I03,1400.0378,studi - belum fabrikasi
RHS50x100,111,I4-J5,I03,1400.0378,studi - belum fabrikasi
RHS50x100,111,SC-R1-BY1,X06,320.4653,studi - belum fabrikasi
RHS50x100,112,I5-J0,I03,1400.0378,studi - belum fabrikasi
RHS50x100,112,I5-J1,I03,1400.0378,studi - belum fabrikasi
RHS50x100,112,I5-J2,I03,1400.0378,studi - belum fabrikasi
RHS50x100,112,I5-J3,I03,1400.0378,studi - belum fabrikasi
